relation_token_span_ids	ent1_ent2_start	ent1	ent2	label	label_id	ent1_type	ent2_type	ent1_id	ent2_id	ent1_cui	ent2_cui	doc_id	text
	(3, 11)	azithromycin	ototoxicity	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	0	Intravenous [s1]azithromycin[e1] induced [s2]ototoxicity[e2] 
	(20, 40)	dihydrotachysterol	increased calcium-release	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	1	Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of [s1]dihydrotachysterol[e1] by rifampicin, could have led to [s2]increased calcium-release[e2] into the circulation.
	(5, 24)	hypercalcemia	dihydrotachysterol	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	2	Unaccountable severe [s1]hypercalcemia[e1] in a patient treated for hypoparathyroidism with [s2]dihydrotachysterol[e2] 
	(7, 15)	pseudoporphyria	naproxen	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	3	METHODS: We report two cases of [s1]pseudoporphyria[e1] caused by [s2]naproxen[e2] and oxaprozin.
	(7, 20)	pseudoporphyria	oxaprozin	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	4	METHODS: We report two cases of [s1]pseudoporphyria[e1] caused by naproxen and [s2]oxaprozin[e2] 
	(0, 32)	Naproxen	erythropoietic protoporphyria	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	5	 [s1]Naproxen[e1]  the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating [s2]erythropoietic protoporphyria[e2] in the pediatric population.
	(10, 47)	naproxen	cutaneous fragility	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	6	RESULTS: A 44-year-old man taking [s1]naproxen[e1] for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and [s2]cutaneous fragility[e2] on the face and the back of the hands.
	(28, 47)	oxaprozin	cutaneous fragility	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	7	RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on [s1]oxaprozin[e1] for rheumatoid arthritis presented with tense bullae and [s2]cutaneous fragility[e2] on the face and the back of the hands.
	(10, 43)	naproxen	tense bullae	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	8	RESULTS: A 44-year-old man taking [s1]naproxen[e1] for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with [s2]tense bullae[e2] and cutaneous fragility on the face and the back of the hands.
	(28, 43)	oxaprozin	tense bullae	DRUG-AE	0	DRUG	AE	-1	-1	N/A	N/A	9	RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on [s1]oxaprozin[e1] for rheumatoid arthritis presented with [s2]tense bullae[e2] and cutaneous fragility on the face and the back of the hands.
